# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0635778 0.0673914 0.0694377 0.200407
32000 0.0798736 0.0697375 0.0762507 0.225862
33000 0.0688513 0.0644901 0.0708803 0.204222
34000 0.063083 0.0720763 0.0695318 0.204691
35000 0.066012 0.0725969 0.0704401 0.209049
36000 0.0747803 0.0763083 0.0760089 0.227098
37000 0.0634213 0.0715882 0.0734664 0.208476
38000 0.0697061 0.0866547 0.0731517 0.229512
39000 0.0731953 0.0806216 0.0758592 0.229676
40000 0.0693448 0.0801824 0.0811299 0.230657
41000 0.0721724 0.0898954 0.0860006 0.248068
42000 0.0737563 0.0943574 0.0792699 0.247384
43000 0.069621 0.0744538 0.0761245 0.220199
44000 0.0730781 0.0753579 0.0703555 0.218792
45000 0.0775697 0.0974939 0.0781078 0.253171
46000 0.0843236 0.0799489 0.0838152 0.248088
47000 0.0736666 0.0899719 0.0858482 0.249487
48000 0.0731815 0.0912871 0.0952297 0.259698
49000 0.0704655 0.0998213 0.0986401 0.268927
50000 0.07883 0.0908828 0.0889122 0.258625
51000 0.0731639 0.0915752 0.09921 0.263949
52000 0.0757525 0.103311 0.107741 0.286805
53000 0.0777913 0.0891352 0.106981 0.273907
54000 0.0809515 0.102441 0.0874094 0.270802
55000 0.0763857 0.0959671 0.0916353 0.263988
56000 0.0747646 0.0921785 0.089605 0.256548
57000 0.0768588 0.0898768 0.0934191 0.260155
58000 0.0813709 0.0989162 0.0953558 0.275643
59000 0.0775284 0.093788 0.0971602 0.268477
60000 0.0758393 0.106828 0.0895111 0.272178
61000 0.0731983 0.10483 0.102129 0.280157
62000 0.0898129 0.0970843 0.111395 0.298292
63000 0.086846 0.101479 0.103814 0.292139
64000 0.0785462 0.099557 0.107789 0.285892
65000 0.0832767 0.0972332 0.0991963 0.279706
66000 0.0803485 0.104993 0.0955661 0.280908
67000 0.0820626 0.104811 0.102877 0.289751
68000 0.0939053 0.108492 0.108567 0.310963
69000 0.0863213 0.117516 0.113669 0.317506
70000 0.0879205 0.113979 0.11143 0.31333
71000 0.0841691 0.11173 0.107573 0.303472
72000 0.081549 0.111885 0.109068 0.302501
73000 0.0787516 0.111569 0.104386 0.294707
74000 0.078303 0.122452 0.0982817 0.299036
75000 0.0919211 0.119311 0.109979 0.321211
76000 0.0901363 0.11942 0.118401 0.327957
77000 0.0774416 0.122671 0.128296 0.328409
78000 0.0873581 0.115677 0.118765 0.3218
79000 0.0842255 0.134832 0.113538 0.332595
80000 0.0781072 0.132998 0.116517 0.327622
81000 0.0749183 0.130856 0.131069 0.336843
82000 0.0893227 0.142261 0.129352 0.360935
83000 0.0856152 0.136354 0.133917 0.355887
84000 0.0853937 0.149523 0.118964 0.35388
85000 0.0780267 0.126563 0.112222 0.316811
