 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.00000000E+00      0.0000000      0.0000000         0
  0.42560949E-11      6.0215899      6.0215899         1
  0.50680350E-11     12.1252547     12.1252547         2
  0.53653105E-11     18.2982349     18.2982349         3
  0.56542985E-11     24.4213158     24.4213158         4
  0.77422338E-11     30.6089348     30.6089348         5
  0.12051967E-10     36.7678742     36.7678742         6
  0.21364288E-10     42.9045227     42.9045227         7
  0.24206713E-10     49.0898417     49.0898417         8
  0.29912113E-10     55.4086240     55.4086240         9
  0.30750097E-10     61.4949080     61.4949080        10
  0.35358913E-10     67.7918897     67.7918897        11
  0.38282939E-10     73.8453430     73.8453430        12
  0.39203860E-10     80.0351813     80.0351813        13
  0.44781278E-10     86.3333625     86.3333625        14
  0.47067508E-10     92.5443325     92.5443325        15
  0.48726763E-10     98.6350136     98.6350136        16
  0.52151456E-10    105.0637525    105.0637525        17
  0.60820155E-10    110.9767795    110.9767795        18
  0.77166229E-10    117.2345766    117.2345766        19
  0.96239895E-10    123.2937325    123.2937325        20
  0.97402081E-10    129.5603441    129.5603441        21
  0.10467476E-09    135.7429653    135.7429653        22
  0.10946268E-09    141.9106806    141.9106806        23
  0.11345968E-09    148.1050766    148.1050766        24
  0.11437472E-09    154.1262845    154.1262845        25
  0.11451343E-09    160.3701220    160.3701220        26
  0.11917223E-09    166.4968754    166.4968754        27
  0.12505941E-09    172.7485439    172.7485439        28
  0.12746218E-09    178.9067666    178.9067666        29
  0.12791208E-09    185.2057652    185.2057652        30
  0.13045658E-09    191.3593595    191.3593595        31
  0.13230583E-09    197.5755369    197.5755369        32
  0.13819024E-09    203.7882534    203.7882534        33
  0.13884961E-09    210.2730581    210.2730581        34
  0.13887664E-09    216.3080571    216.3080571        35
  0.15085129E-09    222.3710877    222.3710877        36
  0.15325314E-09    222.6019177    222.6019177        37
  0.15514297E-09    240.7107201    240.7107201        38
  0.16346690E-09    247.1841685    247.1841685        39
  0.17808074E-09    253.2614313    253.2614313        40
  0.18119058E-09    259.4591920    259.4591920        41
  0.18299063E-09    265.6647736    265.6647736        42
  0.18305942E-09    271.7351592    271.7351592        43
  0.18674464E-09    278.2867352    278.2867352        44
  0.19459933E-09    284.4613152    284.4613152        45
  0.20509321E-09    290.6728348    290.6728348        46
  0.20881434E-09    296.9558561    296.9558561        47
  0.21187145E-09    290.6728343    290.6728343        48
  0.21228096E-09    296.5881934    296.5881934        49
  0.21639761E-09    302.9584135    302.9584135        50
  0.21757883E-09    309.2086647    309.2086647        51
  0.21837461E-09    315.1448701    315.1448701        52
  0.22137818E-09    321.3995434    321.3995434        53
  0.22660106E-09    321.5089090    321.5089090        54
  0.22872078E-09    327.6559666    327.6559666        55
  0.22967675E-09    333.8696923    333.8696923        56
  0.23103672E-09    340.0398662    340.0398662        57
  0.23388019E-09    333.8696853    333.8696853        58
  0.23562022E-09    340.2469164    340.2469164        59
  0.23583479E-09    346.0991619    346.0991619        60
  0.23647874E-09    340.0955649    340.0955649        61
  0.23910479E-09    346.1610279    346.1610279        62
  0.23981457E-09    358.3782141    358.3782141        63
  0.25226272E-09    364.8927710    364.8927710        64
  0.25712458E-09    376.9759692    376.9759692        65
  0.25737143E-09    370.8976556    370.8976556        66
  0.26776498E-09    370.8142445    370.8142445        67
  0.27279450E-09    377.1978779    377.1978779        68
  0.27590460E-09    370.8142416    370.8142416        69
  0.27726405E-09    364.7647641    364.7647641        70
  0.27741428E-09    371.0269894    371.0269894        71
  0.28028171E-09    364.7647592    364.7647592        72
  0.30758287E-09    370.8399113    370.8399113        73
  0.31537392E-09    370.9712129    370.9712129        74
  0.31553783E-09    377.2496681    377.2496681        75
  0.32259245E-09    383.3631733    383.3631733        76
  0.32702600E-09    389.5450971    389.5450971        77
  0.32740911E-09    395.6439037    395.6439037        78
  0.32924961E-09    401.8409819    401.8409819        79
  0.34531312E-09    407.9969167    407.9969167        80
  0.35480229E-09    414.1681220    414.1681220        81
  0.35867929E-09    420.3227857    420.3227857        82
  0.35965350E-09    426.4544114    426.4544114        83
  0.36523773E-09    432.6306051    432.6306051        84
  0.36550232E-09    438.9007586    438.9007586        85
  0.36895921E-09    445.0922745    445.0922745        86
  0.36934637E-09    438.9007734    438.9007734        87
  0.37739427E-09    444.9559833    444.9559833        88
  0.38183813E-09    438.9007865    438.9007865        89
  0.38321542E-09    444.9427586    444.9427586        90
  0.39337722E-09    451.2478406    451.2478406        91
  0.39398440E-09    457.3670477    457.3670477        92
  0.39549682E-09    457.1666914    457.1666914        93
  0.39772273E-09    457.3040497    457.3040497        94
  0.39916446E-09    463.5464232    463.5464232        95
  0.40057375E-09    469.7371754    469.7371754        96
  0.40698233E-09    475.9419816    475.9419816        97
  0.41005079E-09    482.1549903    482.1549903        98
  0.41249854E-09    475.9419835    475.9419835        99
  0.41536942E-09    482.0962345    482.0962345       100
