# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
31000 0.0670102 0.0744276 0.0632465 0.204684
32000 0.0784091 0.0719418 0.0717183 0.222069
33000 0.0654669 0.0708803 0.0691962 0.205543
34000 0.0753978 0.0829916 0.0655426 0.223932
35000 0.0713232 0.0651119 0.0657867 0.202222
36000 0.0602705 0.0562312 0.0627846 0.179286
37000 0.0641722 0.0665375 0.0639394 0.194649
38000 0.0727101 0.0630931 0.0619954 0.197799
39000 0.0676462 0.0611822 0.0607818 0.18961
40000 0.0713343 0.0854374 0.0649455 0.221717
41000 0.0732698 0.0783684 0.0663098 0.217948
42000 0.0726388 0.0706311 0.0648033 0.208073
43000 0.0809234 0.0717216 0.0674704 0.220115
44000 0.0703978 0.0647301 0.0675534 0.202681
45000 0.0684353 0.061663 0.0682661 0.198364
46000 0.0664894 0.0599097 0.0664943 0.192893
47000 0.0755646 0.0730629 0.0681627 0.21679
48000 0.0675162 0.0653762 0.0668259 0.199718
49000 0.0722179 0.0794216 0.0749131 0.226553
50000 0.0660446 0.0692442 0.0663124 0.201601
51000 0.0626362 0.0734879 0.065404 0.201528
52000 0.0770829 0.0802341 0.072155 0.229472
53000 0.0769904 0.0691833 0.0698501 0.216024
54000 0.0739202 0.0674572 0.0659066 0.207284
55000 0.0720307 0.0647554 0.0651649 0.201951
56000 0.0784636 0.0691726 0.0714339 0.21907
57000 0.0753143 0.0731528 0.0662317 0.214699
58000 0.0748253 0.0701258 0.0678051 0.212756
59000 0.0683657 0.0702867 0.0714419 0.210094
60000 0.0795416 0.0703733 0.0767383 0.226653
61000 0.0759548 0.0759335 0.0841766 0.236065
62000 0.0833139 0.0676458 0.0821953 0.233155
63000 0.0809284 0.0757041 0.0718232 0.228456
64000 0.0883015 0.0683584 0.0774477 0.234108
65000 0.0865875 0.0791938 0.0732764 0.239058
66000 0.0882783 0.0696867 0.0659855 0.223951
67000 0.0778228 0.0677465 0.0719544 0.217524
68000 0.0843536 0.0779494 0.0761637 0.238467
69000 0.090411 0.0820712 0.0841382 0.25662
70000 0.0773616 0.077023 0.0844474 0.238832
71000 0.0931927 0.079569 0.077987 0.250749
72000 0.0931259 0.0875047 0.077345 0.257976
73000 0.0892818 0.0739888 0.0794003 0.242671
74000 0.0809914 0.0645433 0.0710192 0.216554
75000 0.091757 0.0858223 0.0799949 0.257574
76000 0.0861414 0.0689132 0.0901242 0.245179
77000 0.0746935 0.0682516 0.0868589 0.229804
78000 0.0828371 0.0739679 0.0763751 0.23318
79000 0.0838667 0.0770643 0.0750953 0.236026
80000 0.0720688 0.0756005 0.0724728 0.220142
81000 0.080097 0.0768038 0.0717341 0.228635
82000 0.0846497 0.0766028 0.0741565 0.235409
83000 0.082768 0.0692423 0.0744608 0.226471
84000 0.0785962 0.0743577 0.0674483 0.220402
85000 0.0854647 0.0696726 0.070971 0.226108
86000 0.0777818 0.0679693 0.0729273 0.218678
87000 0.0875004 0.0806902 0.0669486 0.235139
88000 0.0816004 0.0750886 0.0747262 0.231415
89000 0.0751287 0.0719739 0.0713477 0.21845
90000 0.0824893 0.0830742 0.0738906 0.239454
91000 0.0845898 0.0713206 0.0735322 0.229443
92000 0.085856 0.084152 0.0763549 0.246363
93000 0.083528 0.0752911 0.0694627 0.228282
94000 0.0857686 0.0769763 0.0756264 0.238371
95000 0.095842 0.0850642 0.0730003 0.253906
96000 0.0803921 0.0725687 0.0698988 0.22286
97000 0.0922976 0.0907987 0.0713329 0.254429
98000 0.0825824 0.0688786 0.071178 0.222639
99000 0.0882717 0.0724277 0.0711596 0.231859
100000 0.0811333 0.0726207 0.0740371 0.227791
101000 0.0844208 0.0749323 0.0783635 0.237717
102000 0.0816812 0.0814394 0.0770822 0.240203
103000 0.086912 0.0881305 0.0739063 0.248949
104000 0.0857855 0.0927965 0.0767832 0.255365
105000 0.0795412 0.0958895 0.0824901 0.257921
106000 0.0866906 0.087109 0.0792731 0.253073
107000 0.0897386 0.0869796 0.0818736 0.258592
108000 0.0834641 0.0944474 0.0896853 0.267597
109000 0.0770924 0.0897494 0.107979 0.274821
110000 0.0917183 0.0987269 0.0904168 0.280862
111000 0.0817527 0.0846041 0.0834116 0.249768
112000 0.0919145 0.089047 0.08178 0.262741
113000 0.0866239 0.0944862 0.0860168 0.267127
114000 0.0811983 0.0895302 0.0855207 0.256249
115000 0.103168 0.104527 0.0882465 0.295942
116000 0.078523 0.0877926 0.0931582 0.259474
117000 0.0991449 0.100142 0.0895356 0.288822
118000 0.0875584 0.0934302 0.0912236 0.272212
119000 0.0919855 0.0942521 0.0936972 0.279935
120000 0.091278 0.0982481 0.0933247 0.282851
121000 0.0933949 0.0977867 0.0928173 0.283999
122000 0.101627 0.0940033 0.0978658 0.293496
123000 0.0863783 0.0944515 0.0899176 0.270747
124000 0.100831 0.0986995 0.094147 0.293677
125000 0.0974004 0.0968998 0.0916957 0.285996
126000 0.0847149 0.0892868 0.100255 0.274257
127000 0.0912345 0.0954219 0.0964284 0.283085
128000 0.0901211 0.0926282 0.0943591 0.277108
129000 0.0961764 0.098857 0.0992508 0.294284
130000 0.115761 0.107078 0.0930457 0.315884
131000 0.0909758 0.0970915 0.0938074 0.281875
132000 0.0919397 0.0986218 0.0996314 0.290193
133000 0.0879565 0.0927645 0.110213 0.290934
134000 0.0956747 0.104244 0.104545 0.304463
135000 0.10451 0.109444 0.0963852 0.310339
136000 0.10069 0.108515 0.0973497 0.306554
137000 0.102269 0.114982 0.0927811 0.310032
138000 0.0889685 0.0989304 0.0933584 0.281257
139000 0.0991183 0.107836 0.0976128 0.304567
140000 0.105385 0.100986 0.0936435 0.300014
141000 0.0959619 0.0954524 0.112746 0.30416
142000 0.108653 0.11195 0.111483 0.332086
143000 0.0926407 0.107162 0.112812 0.312614
144000 0.0875918 0.105655 0.113708 0.306955
145000 0.0969995 0.107858 0.102775 0.307633
146000 0.0901811 0.102376 0.0978595 0.290417
147000 0.0859208 0.104945 0.110907 0.301772
148000 0.0940415 0.106186 0.100519 0.300746
149000 0.0935098 0.110435 0.101349 0.305294
150000 0.0891784 0.117306 0.105803 0.312288
151000 0.103891 0.132642 0.103873 0.340406
152000 0.0911946 0.112492 0.10347 0.307156
153000 0.0971875 0.115279 0.0983641 0.310831
154000 0.110412 0.109875 0.10012 0.320407
155000 0.094189 0.107089 0.105913 0.30719
156000 0.10646 0.120706 0.0985317 0.325698
157000 0.0871341 0.113562 0.101334 0.302029
158000 0.0914324 0.127002 0.0905132 0.308947
159000 0.0965953 0.118187 0.0999812 0.314763
160000 0.0851849 0.113776 0.096504 0.295465
161000 0.0968804 0.11686 0.0998406 0.313581
162000 0.0896453 0.113134 0.0988693 0.301649
163000 0.0957708 0.111712 0.104622 0.312104
164000 0.114576 0.115136 0.107121 0.336833
165000 0.102574 0.104361 0.105501 0.312436
166000 0.101689 0.111031 0.100899 0.313619
167000 0.0965425 0.112662 0.100272 0.309476
168000 0.0939392 0.110241 0.116009 0.320189
169000 0.0979243 0.125383 0.111962 0.33527
170000 0.102362 0.117927 0.0988133 0.319103
171000 0.102817 0.118501 0.100801 0.32212
172000 0.103562 0.121848 0.101405 0.326815
173000 0.0955339 0.106206 0.110154 0.311893
174000 0.0907957 0.105441 0.102874 0.299111
175000 0.0957314 0.103519 0.106502 0.305752
176000 0.106152 0.115855 0.107201 0.329208
177000 0.0940515 0.110184 0.10943 0.313665
178000 0.0921145 0.103117 0.108067 0.303299
179000 0.100021 0.111797 0.11132 0.323137
180000 0.0948192 0.102471 0.109181 0.306471
181000 0.0872713 0.0996368 0.105831 0.292739
182000 0.100341 0.10834 0.10206 0.31074
183000 0.1005 0.101272 0.107713 0.309484
184000 0.0948219 0.119112 0.105083 0.319017
185000 0.0912351 0.101401 0.107705 0.300341
186000 0.0984316 0.111888 0.111225 0.321544
187000 0.0941938 0.105931 0.105382 0.305507
188000 0.101498 0.10299 0.108929 0.313417
189000 0.0892046 0.0976187 0.0980239 0.284847
190000 0.103366 0.111218 0.109489 0.324073
191000 0.103563 0.104269 0.110346 0.318178
192000 0.0892608 0.100759 0.110936 0.300956
193000 0.107371 0.109038 0.105478 0.321887
194000 0.103438 0.104433 0.106897 0.314767
195000 0.10599 0.107057 0.103315 0.316362
196000 0.103408 0.117676 0.114185 0.335269
197000 0.0891708 0.107853 0.119078 0.316103
198000 0.101175 0.12648 0.116167 0.343822
199000 0.102197 0.111184 0.10976 0.32314
200000 0.089566 0.114023 0.113851 0.317441
201000 0.084489 0.119622 0.112892 0.317002
202000 0.0896664 0.113894 0.11512 0.318681
203000 0.09717 0.11636 0.109246 0.322776
204000 0.0933523 0.111947 0.113101 0.318401
205000 0.0883682 0.10717 0.120874 0.316412
206000 0.103631 0.114017 0.124156 0.341803
207000 0.0924245 0.107152 0.113197 0.312774
208000 0.0981373 0.10731 0.116109 0.321556
209000 0.0986821 0.120968 0.123999 0.343649
210000 0.0952363 0.112232 0.119287 0.326755
211000 0.0996049 0.118372 0.121796 0.339773
212000 0.0887886 0.115185 0.112434 0.316407
213000 0.0951024 0.111948 0.122141 0.329191
214000 0.0894063 0.10405 0.114477 0.307933
215000 0.0971335 0.109694 0.119133 0.32596
216000 0.0969196 0.117819 0.129184 0.343923
217000 0.0959335 0.12605 0.121398 0.343382
218000 0.101201 0.115541 0.138459 0.355202
219000 0.0988185 0.116281 0.126117 0.341216
220000 0.0986512 0.113521 0.12149 0.333663
221000 0.100117 0.119868 0.12444 0.344426
222000 0.100881 0.132172 0.130943 0.363996
223000 0.11255 0.126269 0.130652 0.369472
224000 0.0962613 0.114817 0.12073 0.331808
225000 0.0967839 0.117285 0.123021 0.33709
226000 0.105603 0.121215 0.13436 0.361178
227000 0.0988565 0.119307 0.130732 0.348895
228000 0.115774 0.133572 0.13415 0.383496
229000 0.106753 0.117749 0.124761 0.349262
230000 0.115726 0.124259 0.12763 0.367615
231000 0.102574 0.127891 0.120283 0.350748
232000 0.1118 0.118146 0.120913 0.350859
233000 0.107335 0.11898 0.121076 0.347391
234000 0.113353 0.114016 0.129773 0.357143
235000 0.110567 0.126206 0.140743 0.377517
236000 0.108031 0.112467 0.136964 0.357462
237000 0.115133 0.123616 0.134596 0.373344
238000 0.111683 0.124217 0.131935 0.367835
239000 0.115007 0.134967 0.131157 0.381131
240000 0.116794 0.133219 0.13581 0.385823
241000 0.109646 0.135237 0.130833 0.375716
242000 0.107557 0.122365 0.118709 0.34863
243000 0.120063 0.141755 0.129091 0.390908
244000 0.112863 0.13515 0.133653 0.381666
245000 0.107193 0.130108 0.141319 0.378619
246000 0.116817 0.124869 0.132965 0.374651
247000 0.106339 0.129319 0.120643 0.3563
248000 0.11317 0.134703 0.12432 0.372194
249000 0.108179 0.135583 0.130118 0.373881
250000 0.113697 0.137989 0.118132 0.369818
251000 0.112296 0.128214 0.131308 0.371818
252000 0.117226 0.136896 0.138642 0.392764
253000 0.113779 0.131006 0.13258 0.377365
254000 0.112062 0.130205 0.129714 0.37198
255000 0.116783 0.128888 0.14195 0.38762
256000 0.114739 0.127636 0.133904 0.376278
257000 0.121271 0.136806 0.131023 0.3891
258000 0.123594 0.134973 0.133634 0.392201
259000 0.129608 0.134112 0.132615 0.396335
260000 0.11832 0.126639 0.135032 0.379991
261000 0.114477 0.139661 0.129073 0.383211
262000 0.114376 0.129562 0.123688 0.367626
263000 0.113497 0.133359 0.130597 0.377454
264000 0.121594 0.137873 0.124699 0.384166
265000 0.126764 0.143683 0.132369 0.402816
266000 0.121711 0.138427 0.116234 0.376373
267000 0.129115 0.144217 0.123907 0.39724
268000 0.120297 0.139143 0.127636 0.387075
269000 0.1143 0.133578 0.130849 0.378728
270000 0.10922 0.131439 0.138417 0.379076
271000 0.114507 0.1379 0.131307 0.383714
272000 0.114008 0.13278 0.132816 0.379604
273000 0.11207 0.134968 0.139851 0.386888
274000 0.121332 0.142641 0.138329 0.402302
275000 0.108872 0.126376 0.13168 0.366929
276000 0.108091 0.131367 0.119306 0.358765
277000 0.105375 0.133377 0.138305 0.377057
278000 0.125112 0.136682 0.129183 0.390977
279000 0.128811 0.131854 0.126422 0.387087
280000 0.120082 0.130298 0.131391 0.381771
281000 0.113495 0.132587 0.135139 0.38122
282000 0.134022 0.141919 0.1301 0.406041
283000 0.115022 0.136232 0.130134 0.381388
284000 0.123805 0.134725 0.123294 0.381824
285000 0.11595 0.138433 0.130171 0.384553
286000 0.119627 0.139333 0.127997 0.386957
287000 0.130533 0.138128 0.127206 0.395867
288000 0.134406 0.14363 0.125217 0.403253
289000 0.122351 0.14672 0.124939 0.39401
290000 0.113672 0.140043 0.128568 0.382284
291000 0.134263 0.140237 0.128055 0.402554
292000 0.114977 0.136214 0.124578 0.375769
293000 0.129695 0.149624 0.13153 0.41085
294000 0.128212 0.146899 0.130706 0.405817
295000 0.127056 0.137073 0.128094 0.392223
296000 0.129995 0.13372 0.119926 0.383641
297000 0.134981 0.142637 0.129421 0.407039
298000 0.121074 0.138018 0.130485 0.389577
299000 0.12113 0.131369 0.122673 0.375173
300000 0.132242 0.14035 0.132268 0.40486
301000 0.119106 0.130686 0.12393 0.373722
302000 0.119305 0.133115 0.122503 0.374923
303000 0.117523 0.137538 0.131358 0.38642
304000 0.131923 0.131478 0.121365 0.384766
305000 0.12859 0.139934 0.133652 0.402177
306000 0.129937 0.137205 0.132852 0.399994
307000 0.125222 0.143618 0.126422 0.395261
308000 0.113337 0.126155 0.133267 0.372758
309000 0.122702 0.138634 0.127998 0.389334
310000 0.131654 0.135993 0.125331 0.392978
311000 0.115186 0.132495 0.128221 0.375901
312000 0.120906 0.127558 0.133181 0.381645
313000 0.128037 0.135557 0.138521 0.402115
314000 0.116097 0.132714 0.130546 0.379357
315000 0.117104 0.131611 0.123657 0.372372
316000 0.124101 0.14081 0.130655 0.395566
