 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.62938368E-11      6.0273206      6.0271542      0.0001664         1
  0.13671334E-10     12.2974332     12.2968642      0.0005690         2
  0.19047677E-10     18.4072755     18.4059068      0.0013688         3
  0.19703350E-10     24.6945397     24.6922408      0.0022989         4
  0.31884568E-10     30.7802713     30.7781604      0.0021108         5
  0.33746246E-10     37.0352810     37.0315937      0.0036874         6
  0.39495088E-10     43.1015507     43.0991528      0.0023980         7
  0.45445508E-10     49.4851321     49.4805672      0.0045649         8
  0.53046425E-10     43.1015506     43.0991526      0.0023980         9
  0.53733647E-10     49.4305813     49.4277008      0.0028806        10
  0.58019889E-10     55.5366873     55.5306676      0.0060197        11
  0.58798549E-10     61.8135729     61.8089679      0.0046050        12
  0.59322908E-10     55.5366809     55.5306612      0.0060197        13
  0.59842260E-10     61.6447232     61.6369082      0.0078149        14
  0.60742575E-10     67.8244285     67.8112950      0.0131334        15
  0.62518693E-10     74.0614756     74.0501046      0.0113711        16
  0.62983809E-10     80.2103838     80.1972835      0.0131003        17
  0.65721006E-10     86.5420633     86.5302571      0.0118062        18
  0.69064290E-10     92.7270691     92.7170396      0.0100295        19
  0.69946523E-10     98.9331939     98.9224913      0.0107026        20
  0.70440226E-10    105.1333203    105.1210529      0.0122674        21
  0.74353378E-10    111.2969432    111.2822978      0.0146454        22
  0.85777271E-10    117.3578199    117.3418491      0.0159708        23
  0.87375113E-10    123.5968691    123.5782893      0.0185798        24
  0.88295547E-10    142.0673780    142.0532404      0.0141376        25
  0.97812019E-10    142.3559268    142.3439405      0.0119863        26
  0.97823810E-10    142.2253499    142.2152092      0.0101406        27
  0.98368682E-10    148.4958844    148.4870701      0.0088143        28
  0.10001375E-09    154.7931256    154.7869136      0.0062120        29
  0.10336147E-09    160.9726480    160.9668564      0.0057917        30
  0.10485103E-09    173.1678086    173.1608879      0.0069207        31
  0.10619171E-09    179.3325959    179.3249253      0.0076706        32
  0.10918694E-09    179.4480368    179.4416975      0.0063393        33
  0.11131882E-09    185.6265270    185.6159006      0.0106264        34
  0.11252385E-09    191.8812063    191.8694378      0.0117685        35
  0.12641918E-09    204.2499467    204.2379732      0.0119735        36
  0.13216067E-09    216.3392242    216.3290470      0.0101772        37
  0.13944956E-09    216.6063262    216.5978834      0.0084428        38
  0.14856459E-09    222.7309770    222.7209730      0.0100040        39
  0.15047189E-09    229.0212150    229.0123343      0.0088806        40
  0.15149192E-09    235.1980450    235.1877907      0.0102543        41
  0.15800152E-09    241.5282196    241.5184490      0.0097706        42
  0.16218722E-09    247.7819471    247.7716476      0.0102995        43
  0.16265353E-09    254.0339237    254.0265025      0.0074213        44
  0.16636466E-09    260.2454217    260.2381231      0.0072986        45
  0.16929183E-09    266.2960488    266.2872443      0.0088044        46
  0.17351723E-09    278.5520892    278.5426018      0.0094874        47
  0.17586825E-09    291.3210313    291.3128395      0.0081918        48
  0.18286684E-09    297.6325461    297.6249348      0.0076113        49
  0.18311412E-09    303.7267009    303.7198456      0.0068553        50
  0.18688546E-09    309.8658658    309.8605531      0.0053127        51
  0.18892708E-09    315.8413770    315.8358823      0.0054947        52
  0.19448283E-09    328.1374299    328.1308560      0.0065738        53
  0.19684859E-09    322.2575461    322.2483157      0.0092305        54
  0.19825436E-09    328.3352008    328.3238118      0.0113890        55
  0.19890672E-09    334.4820960    334.4662567      0.0158393        56
  0.19919556E-09    340.7464597    340.7310044      0.0154553        57
  0.20358133E-09    346.8061761    346.7890272      0.0171489        58
