# Time-averaged data for fix 1
# TimeStep c_msd_all[1] c_msd_all[2] c_msd_all[3] c_msd_all[4]
1000 0.0184636 0.018066 0.0168568 0.0533863
2000 0.022151 0.0213379 0.023749 0.0672379
3000 0.0276463 0.0293597 0.0308272 0.0878331
4000 0.0281547 0.0285481 0.0320938 0.0887967
5000 0.0292805 0.0364483 0.029502 0.0952308
6000 0.0308839 0.0396141 0.0350352 0.105533
7000 0.0368348 0.0354023 0.0298973 0.102134
8000 0.0376133 0.0362113 0.0360793 0.109904
9000 0.029683 0.0356734 0.0337049 0.0990613
10000 0.0391417 0.0455086 0.0345808 0.119231
11000 0.0382267 0.0408785 0.03751 0.116615
12000 0.0476423 0.0418764 0.0372533 0.126772
13000 0.0436705 0.0398651 0.0389141 0.12245
14000 0.0417462 0.0421419 0.0375576 0.121446
15000 0.0439196 0.0475173 0.0373845 0.128821
16000 0.0414623 0.0416224 0.0367668 0.119851
17000 0.0462755 0.0416084 0.040166 0.12805
18000 0.0401568 0.0432966 0.0401202 0.123574
19000 0.0484825 0.0500208 0.0469774 0.145481
20000 0.0394708 0.0429388 0.048631 0.131041
21000 0.0488831 0.0423177 0.045654 0.136855
22000 0.0464907 0.0436661 0.0389644 0.129121
23000 0.0415078 0.0519475 0.0504689 0.143924
24000 0.0381968 0.0450767 0.0467367 0.13001
25000 0.0439424 0.0517021 0.0493926 0.145037
26000 0.0421872 0.0457388 0.0465114 0.134437
27000 0.0382829 0.0517454 0.0509342 0.140963
28000 0.041866 0.0574098 0.046163 0.145439
29000 0.0451356 0.0506782 0.0497884 0.145602
30000 0.0459932 0.0460568 0.0540619 0.146112
31000 0.0405823 0.0452981 0.0510574 0.136938
32000 0.0364206 0.0523679 0.0442288 0.133017
33000 0.0433992 0.0535374 0.0529573 0.149894
34000 0.045889 0.0527596 0.0503296 0.148978
35000 0.0409644 0.0503572 0.0514999 0.142822
36000 0.0428291 0.0577278 0.0500563 0.150613
37000 0.0479155 0.0452637 0.0522697 0.145449
38000 0.0505527 0.0472699 0.0558313 0.153654
39000 0.0528988 0.0540519 0.0513137 0.158264
40000 0.0459517 0.0530963 0.0564521 0.1555
41000 0.0482854 0.0506361 0.0478925 0.146814
42000 0.0594648 0.0564529 0.0482713 0.164189
43000 0.0535391 0.0467786 0.0513088 0.151626
44000 0.0459425 0.05344 0.0521379 0.15152
45000 0.0418992 0.0466646 0.0480631 0.136627
46000 0.0502427 0.0455232 0.0543002 0.150066
47000 0.0545674 0.0496789 0.0518864 0.156133
48000 0.0520062 0.0538715 0.0516444 0.157522
49000 0.0542416 0.0538425 0.0508667 0.158951
50000 0.0523711 0.052962 0.0531532 0.158486
51000 0.0582869 0.0635567 0.0539496 0.175793
52000 0.0473924 0.0571063 0.0551719 0.159671
53000 0.0486532 0.0520399 0.0527172 0.15341
54000 0.0513178 0.0550574 0.0519207 0.158296
55000 0.0503622 0.0567617 0.0589749 0.166099
56000 0.0536666 0.0574622 0.0569765 0.168105
57000 0.0513311 0.0538994 0.0563109 0.161541
58000 0.0472065 0.0528329 0.0578089 0.157848
59000 0.0487659 0.0541418 0.0617621 0.16467
60000 0.0594745 0.0558211 0.0599016 0.175197
61000 0.0516413 0.0597294 0.0645771 0.175948
62000 0.0540078 0.0672177 0.067757 0.188983
63000 0.0548956 0.058258 0.0655076 0.178661
64000 0.0453995 0.0487591 0.0578656 0.152024
65000 0.05238 0.067949 0.0597252 0.180054
